Herding,Hound,Toy,Non-Sporting,Sporting,Terrier,Working,,
Australian Cattle Dog,Afghan Hound,Affenpinscher,American Eskimo Dog,American Water Spaniel,Airedale Terrier,Akita,,https://www.akc.org/public-education/resources/general-tips-information/dog-breeds-sorted-groups/
Australian Shepherd,American English Coonhound,Brussels Griffon,Bichon Frise,Barbet,American Hairless Terrier,Alaskan Malamute,,
Bearded Collie,American Foxhound,Cavalier King Charles Spaniel,Boston Terrier,Boykin Spaniel,American Staffordshire Terrier,Anatolian Shepherd Dog,,
Beauceron,Azawakh,Chihuahua,Bulldog,Brittany,Australian Terrier,Bernese Mountain Dog,,
Belgian Laekenois,Basenji,Chinese Crested,Chinese Shar-Pei,Chesapeake Bay Retriever,Bedlington Terrier,Black Russian Terrier,,
Belgian Malinois,Basset Hound,English Toy Spaniel,Chow Chow,Clumber Spaniel,Border Terrier,Boerboel,,
Belgian Sheepdog,Beagle,Havanese,Coton De Tulear,Cocker Spaniel,Bull Terrier,Boxer,,
Belgian Tervuren,Black and Tan Coonhound,Italian Greyhound,Dalmatian,Curly-Coated Retriever,Cairn Terrier,Bullmastiff,,
Bergamasco,Bloodhound,Japanese Chin,Finnish Spitz,English Cocker Spaniel,Cesky Terrier,Cane Corso,,
Berger Picard,Bluetick Coonhound,Maltese,French Bulldog,English Setter,Dandie Dinmont Terrier,Chinook,,
Border Collie,Borzoi,Manchester Terrier,Keeshond,English Springer Spaniel,Glen of Imaal Terrier,Doberman Pinscher,,
Bouvier des Flandres,Cirneco Dell’Etna,Miniature Pinscher,Lhasa Apso,Field Spaniel,Irish Terrier,Dogo Argentino,,
Briard,Dachshund,Papillon,Lowchen,Flat-Coated Retriever,Kerry Blue Terrier,Dogue de Bordeaux,,
Canaan Dog,English Foxhound,Pekingese,Norwegian Lundhund,German Shorthaired Pointer,Lakeland Terrier,German Pinscher,,
Cardigan Welsh Corgi,Grand Basset Griffon Vendeen,Pomeranian,Poodle,German Wirehaired Pointer,Manchester Terrier,Giant Schnauzer,,
Collie,Greyhound,Poodle (Toy),Schipperke,Golden Retriever,Miniature Bull Terrier,Great Dane,,
Entlebucher Mountain Dog,Harrier,Pug,Shiba Inu,Gordon Setter,Miniature Schnauzer,Great Pyrenees,,
Finnish Lapphund,Ibizan Hound,Shih Tzu,Tibetan Spaniel,Irish Red and White Setter,Norfolk Terrier,Greater Swiss Mountain Dog,,
German Shepherd Dog,Irish Wolfhound,Silky Terrier,Tibetan Terrier,Irish Setter,Norwich Terrier,Komondor,,
Icelandic Sheepdog,Norwegian Elkhound,Toy Fox Terrier,Xoloitzcuintli,Irish Water Spaniel,Parson Russell Terrier,Kuvasz,,
Miniature American Shepherd,Otterhound,Yorkshire Terrier,,Labrador Retriever,Rat Terrier,Leonberger,,
Norwegian Buhund,Petit Basset Griffon Vendeen,,,Lagotto Romagnolo,Russell Terrier,Mastiff,,
Old English Sheepdog,Pharaoh Hound,,,Nederlandse Kooikerhondje,Scottish Terrier,Neapolitan Mastiff,,
Pembroke Welsh Corgi,Plott Hound,,,Nova Scotia Duck Tolling Retriever,Sealyham Terrier,Newfoundland,,
Polish Lowland Sheepdog,Portuguese Podengo Pequeno,,,Pointer,Skye Terrier,Portuguese Water Dog,,
Puli,Redbone Coonhound,,,Spinone Italiano,Smooth Fox Terrier,Rottweiler,,
Pumi,Rhodesian Ridgeback,,,Sussex Spaniel,Soft Coated Wheaten Terrier,Saint Bernard,,
Pyrenean Shepherd,Saluki,,,Vizsla,Staffordshire Bull Terrier,Samoyed,,
Shetland Sheepdog,Scottish Deerhound,,,Weimaraner,Welsh Terrier,Siberian Husky,,
Spanish Water Dog,Sloughi,,,Welsh Springer Spaniel,West Highland White Terrier,Standard Schnauzer,,
Swedish Vallhund,Treeing Walker Coonhound,,,Wirehaired Pointing Griffon,Wire Fox Terrier,Tibetan Mastiff,,
,Whippet,,,Wirehaired Vizsla,,,,
